1282596	Wobkent Rayoni	40	3	A	ADM3	UZ	Europe/Zaporozhye
3164670	State of the Vatican City	4190225	124533	A	PCLI	VA	Europe/Vatican
6269268	San Pietro del Vaticano	4190221	1245305	S	CH	VA	Europe/Vatican
6269269	Piazza di San Pietro	4190225	1245726	S	SQR	VA	Europe/Vatican
6691831	Vatican City	4190268	1245414	P	PPLC	VA	Europe/Vatican
6696760	Vatican Radio	4190189	1244834	S	STNR	VA	Europe/Vatican
6696761	Vatican Railway Station	4190108	124513	S	RSTN	VA	Europe/Vatican
6696762	Viale Centro del Bosco	4190502	1245072	R	ST	VA	Europe/Vatican
6946427	Vatican Museums	4190507	1245498	S	MUS	VA	Europe/Vatican
7289963	Piazza di Santa Maria	4190122	1245262	S	SQR	VA	Europe/Vatican
7289964	Vatican City Heliport	4190194	1244622	S	AIRH	VA	Europe/Vatican
7289965	Ethiopian Seminary	4190235	1244967	S	BLDG	VA	Europe/Vatican
7289967	Civil Administration Building	4190238	1245125	S	BLDG	VA	Europe/Vatican
7289969	Palace of Justice	4190124	1245209	S	BLDG	VA	Europe/Vatican
7289971	Chuch of St Stephen	4190179	1245184	S	CH	VA	Europe/Vatican
7289974	Piazza Pio XII	4190226	1245898	S	SQR	VA	Europe/Vatican
7289975	Church of St Anne	419042	1245753	S	CH	VA	Europe/Vatican
7289976	Vatican City Post Office	4190434	1245624	S	PO	VA	Europe/Vatican
7289977	Belvedere Courtyard	4190412	1245472	S	SQR	VA	Europe/Vatican
7289978	Pigna Courtyard	4190575	124546	S	SQR	VA	Europe/Vatican
7645556	Vatican Radio Centre	4190388	1245003	S	STNR	VA	Europe/Vatican
7778930	Sistine Chapel	4190305	124544	S	CH	VA	Europe/Vatican
7910547	Torre San Giovanni	4190157	1244756	S	TOWR	VA	Europe/Vatican
7910548	Audience Hall	4190078	1245472	S	BLDG	VA	Europe/Vatican
10402534	Palazzo Pontificio	4174699	126503	S	PAL	VA	Europe/Rome
